date,symbol,pull_symbol,in_dow,RSI_14,Dist_MA20,Bollinger_Band_Width,ZScore_MA20,Mom_12M_Refined,MACD,Dollar_Volume,Volume_Shock,MFI_14,Historical_Volatility_20D,Chaikin_Oscillator
2010-01-04,AA,AA,1,72.045965489639,0.1150549480281895,0.3412731576972117,1.3485379137877564,0.15954028547432952,1.7049138165591913,380334423.46100235,-0.11798792571227701,72.3996548118181,0.445538000800444,6769847.652417183
2010-01-04,AXP,AXP,1,53.83484529048624,0.007075933654217215,0.07072461942952796,0.40019635093366024,1.1981168082861315,0.28474100252485357,223244016.28074646,-0.12265721237541616,53.753605181562364,0.16852728385742088,1133048.2934097052
2010-01-04,BA,BA,1,61.01145738068966,0.019175326043561647,0.04915441126505727,1.5604154784938222,0.2347091651162232,0.5010414291340197,270838566.99905396,0.3259364196909069,40.357392691499776,0.22353388131782664,-1473852.9481685758
2010-01-04,BAC,BAC,1,54.29766352957809,0.021883401981376505,0.08632724534194791,1.0139742972080181,0.09743219110703194,-0.10703470477045585,2188367722.403717,-0.17431884004903264,59.87439989305021,0.3138244207055485,-72747468.99247742
2010-01-04,CAT,CAT,1,54.455414523587265,0.014080914841229974,0.048369477371849795,1.164446308400659,0.3119678751431687,0.07442311010188263,287155170.0500488,0.33552225581770556,57.433250370779305,0.1822015502320535,-738344.853333205
2010-01-04,CSCO,CSCO,1,64.98389629865045,0.034894554649138376,0.057903493685650516,2.41053189906473,0.4074291700156407,0.09005791370446303,951051168.3130264,0.715488918512005,53.87342976993659,0.17213376415395096,11395746.654392004
2010-01-04,CVX,CVX,1,59.65943477220796,0.020405497020757446,0.028462388483985617,2.867713935144787,0.0682083665856974,0.07723574731218008,419826430.3665161,0.27949634090054465,52.70754902930564,0.14920753549093155,-3727921.335860312
2010-01-04,DD,DD,1,61.854514407505704,0.06588597245411854,0.12103917958877139,2.177343656094336,0.9081071988364116,0.15049603621012153,325739380.44286346,0.9239859074683001,67.31287765683574,0.36193329097308163,10896311.670600057
2010-01-04,DIS,DIS,1,59.478877726709726,0.009355205293020141,0.0924747045642449,0.404660078109072,0.2872070701067868,0.51480082867851,373900757.1899414,0.23786789353562687,53.78974645475328,0.17720450219280348,-5608404.460066617
2010-01-04,GE,GE,1,47.96932252744914,-0.0072147356077266744,0.059715383635829435,-0.48327483930943554,-0.0171629310567456,-0.3112520816028308,749188329.2524719,0.15791463368539782,32.631899164276874,0.17394610610227673,-5704954.407972515
2010-01-04,HD,HD,1,53.96430406028604,-0.0008711921024803226,0.07346965275841262,-0.04743139893936795,0.21972493731828147,0.2911790046021103,255094102.85758972,0.12984586239559115,55.12980362595598,0.15423829001200995,-3605973.2481499314
2010-01-04,HPQ,HPQ,1,59.65909450417521,0.023690257945525595,0.10286741713298783,0.9211957918569522,0.33976351594682974,0.2325163370995469,418099473.9869423,-0.04287874661873248,79.96402487155049,0.19492397930780025,22024271.182935476
2010-01-04,IBM,IBM,1,64.00284378415219,0.022712773953678544,0.05680426655471528,1.5993709861072474,0.4850573436554573,0.798480055735908,466583188.7035217,0.08277698108288001,71.79805090225523,0.11945121087028324,5772247.356245637
2010-01-04,INTC,INTC,1,64.23906949553668,0.03914200007734836,0.08288819796055405,1.888905829318465,0.34164311444834894,0.15553173305837298,646240746.8141556,0.0030639038302260335,69.66338864480029,0.24125527741500005,3059932.6220091283
2010-01-04,JNJ,JNJ,1,62.05651756400278,0.0009830776146562137,0.014791893579239657,0.2658422626934139,0.08861479927063609,0.3448043198480377,382194177.4505615,0.02176498502478319,56.004143185026415,0.05168477115927734,-5538904.746239305
2010-01-04,JPM,JPM,1,57.956332945318934,0.03447930367599028,0.05188382537364889,2.658192870528155,0.34345109325987644,-0.06878335539344249,1002794827.9657364,0.06440681018646366,65.62991385112578,0.2243482575258425,3619587.37732327
2010-01-04,KO,KO,1,47.294312288924054,-0.01234589927350982,0.04967361003510377,-0.9941616294676422,0.3067435106903391,0.04830784428732926,240184423.02246094,-0.20842029330406797,31.76422582513436,0.12957004868996005,-4256941.612463117
2010-01-04,MCD,MCD,1,53.76283007891922,0.007858506943496879,0.058156060213152234,0.5405116450250695,0.015151845401488506,0.2396269315617232,235513035.31913757,-0.08895174765930824,69.20111470478399,0.12651868600363264,-4001589.7520973086
2010-01-04,MMM,MMM,1,61.80679841240675,0.019588584365286987,0.09527009907772818,0.822444168943509,0.36952542144964706,0.7615376242496339,155732670.77869415,-0.18162401254191307,65.81926541040865,0.18318957083534756,732899.9385102689
2010-01-04,MRK,MRK,1,55.76013438889466,-0.00312871535587389,0.057997819518004604,-0.21578158502338965,0.23865747880050314,0.2701334715039003,297980906.9243622,0.02973917100320822,48.601087811187654,0.16338178621468097,-5478092.788847007
2010-01-04,MSFT,MSFT,1,60.576653597737455,0.019483702009718717,0.07550386890702306,1.032196219439365,0.49918294977570143,0.35200746035372177,886381293.196106,-0.0741522364652758,70.37932696731164,0.16316075061733765,7683948.093694687
2010-01-04,PFE,PFE,1,61.78072691565792,0.02880420808014228,0.054724099936615415,2.105413016459298,0.08054903266943958,0.07916031638676202,505113115.9056473,0.2550001174048462,62.20520821046006,0.23157498433932797,-16066847.975754738
2010-01-04,PG,PG,1,45.5942744404175,-0.010466328850266882,0.039112018300325235,-1.0703951680427413,0.038047678956737885,-0.06605700496502465,350594184.2651367,-0.005570054142484349,39.05162217485355,0.1017655532317889,-1832147.115196079
2010-01-04,T,T,1,67.38493276104919,0.02547540396306247,0.05296371160247616,1.9239893272035284,0.009845378475059396,0.09056573403094248,260148072.70176125,0.27188183372768737,71.04418272137164,0.14734753584357635,4044199.089748144
2010-01-04,TRV,TRV,1,46.727584679245886,-0.00023776084008897413,0.06414054954206343,-0.01482749005342131,0.1904508072945299,-0.23181597301061174,127009110.47363281,-0.023544250578095394,39.650462764517236,0.1634997786445236,-1384349.5184063613
2010-01-04,UTX,RTX,1,65.95290535197476,0.03029940022612565,0.05816200525535308,2.0837933694410924,0.2755600222719645,0.37946748709578415,298768984.84220505,0.45582337341869583,55.91785364913939,0.1794359489337322,-253141.0335815251
2010-01-04,VZ,VZ,1,61.76289644698513,0.001700507574032395,0.03650192805421871,0.1863471509237997,0.0008692948879025497,0.18849516433551017,218654292.97705078,0.13491238086874646,55.62338381157242,0.11499055694815309,-4962859.8437801
2010-01-04,WMT,WMT,1,56.66108422062605,0.007169651616296235,0.04198344624105986,0.6830931958400498,-0.02979350560324745,0.045696306834363654,805250980.8826447,0.6472113108017903,40.375264072433666,0.13824780276250703,6431278.453754872
2010-01-04,XOM,XOM,1,40.84199808575754,-0.012664439979624742,0.1235518131519864,-0.41001227441464444,-0.050180814788818084,-0.6555988486769664,1046483832.1941376,-0.11257782148196005,27.056834460142767,0.18286357801748274,-18805077.18915391
2010-01-05,AA,AA,1,63.72435546522753,0.06899058189130836,0.3218575402717035,0.857405196511083,0.1518656431459191,1.644781022617238,710565976.801548,0.6918771599919975,59.90673326655345,0.45703847319410523,317010.32964614034
2010-01-05,AXP,AXP,1,53.016687883526785,0.002972692755651929,0.06357125851375016,0.18704633667171594,1.0171896821629356,0.26098412287742434,343814385.6994629,0.44166650860702483,54.15181534114419,0.16626725573745416,1505024.374056697
2010-01-05,BA,BA,1,67.96258076695378,0.04937604761005576,0.06712513939066263,2.9423281982442497,0.20988106760798297,0.6512171526817951,400925171.1555481,0.833400354159409,44.29419824389809,0.24279663179530614,1492641.2759498432
2010-01-05,BAC,BAC,1,61.19553336201629,0.055374557567391625,0.08335747753779463,2.657208888898279,0.13281363671229474,-0.04334335448626092,2617782791.4954185,0.24594940360027318,61.66566654270606,0.31317279336583337,23810790.93305874
2010-01-05,CAT,CAT,1,58.142515847249136,0.025361139626926432,0.053120207603908356,1.9097169059301988,0.3188305311333035,0.13713736808498567,225993678.3920288,0.08566691757262768,58.193423742095156,0.18676785463135828,615672.9955154359
2010-01-05,CSCO,CSCO,1,62.50822496290611,0.02937800488757758,0.06300556875477653,1.8651052894654159,0.3927526038493294,0.11294612334364196,713815826.6673088,0.3015611407368779,54.919533105428776,0.16739823227524164,16277383.037438989
2010-01-05,CVX,CVX,1,62.23467301564288,0.026606574033002595,0.03720924290876569,2.8602112758101326,0.05582835269187236,0.15387808460356922,440250343.61076355,0.327110577724105,61.45304412385132,0.1509012618137854,1289184.5550502539
2010-01-05,DD,DD,1,67.66602422738583,0.10701447512473106,0.15694945494987625,2.727361497595703,0.8954598731644234,0.2210314370040063,377441366.2772255,1.0390566729321815,70.35302865027366,0.3875968562480791,22276549.676862076
2010-01-05,DIS,DIS,1,58.167350482822805,0.004463823241945608,0.08418628395368775,0.21209266081402034,0.2906380995840936,0.47283006245343984,280608085.52627563,-0.05110144203085665,47.23398074709525,0.1710629017193225,-6182155.788925946
2010-01-05,GE,GE,1,50.04788147176966,-0.0002584086387237283,0.05035000028459564,-0.0205289880646007,0.004446977914766892,-0.26222580529602624,724672440.7534218,0.1376742120949055,34.32087206679731,0.16809181489519023,-5808831.570884705
2010-01-05,HD,HD,1,56.873434495351354,0.005046079106476364,0.07070575324449367,0.28546922279592174,0.17427748067441962,0.26944919411478807,305402186.022377,0.3501044116068306,46.0884739447101,0.1550661696230359,-1187178.525883913
2010-01-05,HPQ,HPQ,1,60.900011427487506,0.02502442949229544,0.10146128489476339,0.9865607169572509,0.35691079910981927,0.23104801913785877,432965249.7979984,0.00908165460046173,80.09255124165814,0.18855697671740138,27546056.182091475
2010-01-05,IBM,IBM,1,56.363924769156796,0.008956056091417919,0.054954938165876294,0.6518836261363817,0.49845926191187817,0.746051109039783,512326205.91503906,0.20587721114683144,63.67725533917219,0.12876501450077932,4790840.374847531
2010-01-05,INTC,INTC,1,64.02563148289883,0.03758576768719246,0.08839911492699398,1.7007304979572837,0.3781416860730962,0.17460896268640091,707507079.1234016,0.13927063892694957,61.98144826096902,0.2195922374988076,7986746.971904606
2010-01-05,JNJ,JNJ,1,48.90535762360021,-0.010294901976246162,0.017289200025813703,-2.3818110637566408,0.10431109132810867,0.28560675592759566,424133173.9173889,0.17445041341411627,48.5646309480893,0.06603470306831488,-7531912.934344262
2010-01-05,JPM,JPM,1,62.82851456085446,0.05198963441246107,0.07097906193046316,2.9298575100017157,0.4217032838728949,0.03951353640520239,1187910156.8933487,0.27576064677943823,66.28266504948574,0.2317885064533334,16031763.170748234
2010-01-05,KO,KO,1,40.22650809645065,-0.023329104595539496,0.05418822974250282,-1.7220791087951828,0.30425783270217943,0.018314156548211002,396407072.6875305,0.3290973341080341,22.999522967479123,0.1352869651970572,-8178172.436517447
2010-01-05,MCD,MCD,1,49.24123513068314,-0.00041729870051210316,0.05715292493873696,-0.02920576337672191,0.009552285873066113,0.196588648224008,284130553.21502686,0.12870567715583348,59.96667717554635,0.12771561910817134,-4972349.689401478
2010-01-05,MMM,MMM,1,58.51159363614826,0.010558952367376584,0.08819699341117634,0.4788803771643536,0.3634118519038907,0.7087542656038437,144756029.8659668,-0.21844651609072363,57.55537788155497,0.18213582220880903,457850.52212163806
2010-01-05,MRK,MRK,1,57.2901277185516,-0.00020787523702259225,0.05429561771276652,-0.015314328911202761,0.2567011776786039,0.2543623675769737,317452363.2296562,0.10022188667788257,49.215723979745846,0.1634237600967385,-4794026.514146633
2010-01-05,MSFT,MSFT,1,60.685608257157334,0.01817001288693576,0.07640533810541951,0.9512431114101474,0.487796130801635,0.3417418381778887,1148461594.5968628,0.21245044297446336,71.21381697980526,0.16280034926310585,12354512.50546074
2010-01-05,PFE,PFE,1,55.77421901531342,0.01366232009952939,0.056002093724963085,0.9758435223245508,0.08129336284172961,0.07888270110482232,414616186.60788155,0.05353350838209425,61.64864719356034,0.23579796340559173,-13220848.271250725
2010-01-05,PG,PG,1,45.85282604577711,-0.008971801508377841,0.037986021494884316,-0.9447476893136687,0.03511531209278962,-0.07399645989400483,330049620.4750061,-0.0505337687642361,31.58601905544296,0.10169821862176755,306337.59432820976
2010-01-05,T,T,1,64.04812052415028,0.018916659757149734,0.05505430174504763,1.3744001218834019,0.051506222413475244,0.0911164378672975,313052559.50063515,0.5271150776399447,72.3086702886702,0.1492331043106792,-1448560.6213400364
2010-01-05,TRV,TRV,1,38.31889441432031,-0.021883720020232533,0.06538205155919279,-1.3388212512983255,0.18059265163142757,-0.27914229228301934,198276890.0089264,0.5645286784618282,31.39795646488753,0.18117463064278008,-3147417.509284377
2010-01-05,UTX,RTX,1,58.1652692614708,0.013275960897054073,0.05712611704000799,0.9295895877366461,0.2739711446251014,0.3695799119477421,241308506.81470108,0.18496751450719096,47.01905482741806,0.1841104079192585,-753306.316100195
2010-01-05,VZ,VZ,1,62.66940317088455,0.0025409248875083446,0.033404948124415156,0.30425730679716056,0.0687367117805937,0.17905135774998016,321233338.6397495,0.6263577044410598,45.97399416393936,0.1150115741368558,1683697.9731599689
2010-01-05,WMT,WMT,1,50.83158364491486,-0.0026018671234488977,0.04200982797596519,-0.24773889813950567,-0.020802167862613574,0.03989199505156549,601135091.1437988,0.22012055867742553,40.222297548316604,0.14228233120793352,-3899104.9061742723
2010-01-05,XOM,XOM,1,43.003851866016284,-0.005379951059069077,0.11030304739912082,-0.19509709607939427,-0.0600913792274842,-0.5970713552323801,1139937050.340271,-0.04693320269792445,37.646663382883226,0.1835619244631535,-4310245.810439348
2010-01-06,AA,AA,1,69.79388026576771,0.11023907344458239,0.3097593232453291,1.4235448643109678,0.10337258347978917,1.7209990329818936,699881021.1401482,0.5207655865049072,67.52540472494123,0.47761660850809623,2445043.4807507694
2010-01-06,AXP,AXP,1,58.051555506327496,0.016588098855191857,0.05802286593466608,1.1435559818000158,0.9310927455076914,0.28105958521154406,275769171.0342407,0.14534513486720546,64.82562120783253,0.17367952538707582,2268723.7085205317
2010-01-06,BA,BA,1,72.93344065420033,0.077350146651886,0.09847000450241665,3.142079541592289,0.22663743867563424,0.8708591306623035,411628961.9808197,0.7563439265859568,57.023657276625826,0.2536995080090461,4822460.8146686405
2010-01-06,BAC,BAC,1,63.41115135825074,0.06601628488923583,0.09846642352091027,2.681778520176137,0.14560721926818143,0.018740764899908058,2594593231.666374,0.252539422122827,71.65956061739254,0.30242659427719876,88038984.15701866
2010-01-06,CAT,CAT,1,59.060458686592504,0.026815122957961623,0.05862335198677577,1.8296547057909975,0.32917273080201426,0.1943242101249325,187751731.9091797,-0.0822785117851208,65.54984541994193,0.1798208801769145,908879.864492774
2010-01-06,CSCO,CSCO,1,58.9878281961481,0.022227786835472108,0.06506526130644538,1.3664918200071923,0.3580667700000799,0.12137705297181611,561302102.5746346,0.026296408363426282,56.71298180396816,0.16934786433903926,9976202.190736651
2010-01-06,CVX,CVX,1,62.28096824748003,0.02576997476077536,0.043763349262430536,2.355393286399857,0.047886261997880375,0.21258819452032185,457799480.63583374,0.35027190302697453,71.06526270474417,0.1509267562123435,3527275.545981705
2010-01-06,DD,DD,1,69.72910173786985,0.12022454764332124,0.1924406376150927,2.4989430326828734,0.7670750368299464,0.2906873153262364,449271891.6380882,1.2314369484835175,79.15187138655924,0.3867443125164288,19571351.582247317
2010-01-06,DIS,DIS,1,55.37309840287587,-0.002711246044314053,0.07623198057247467,-0.14226292031001153,0.26861380376737687,0.4230182454426412,289997040.3432846,-0.006143913553683933,38.21677331373882,0.17285973178911762,-6280814.257093012
2010-01-06,GE,GE,1,47.98354776979662,-0.0037210132120739647,0.04284335718611355,-0.3474063151409625,0.00312921858269144,-0.24293443199739073,619465090.3072739,-0.014683662136509401,35.47367114009823,0.1672712460634682,-8596513.29749161
2010-01-06,HD,HD,1,55.08820427303001,0.0005910177072427913,0.06859811326558661,0.0344626217315743,0.15487809477052572,0.24394426617501352,172392326.42669678,-0.22235153879878788,42.9889212333395,0.15538446199059983,-1401340.2545989156
2010-01-06,HPQ,HPQ,1,56.716018377612436,0.012484596030589934,0.0931554917016817,0.5360755786924569,0.2753057809484232,0.21611923005615985,384830971.29955006,-0.09015319760320184,72.2799482053906,0.18629540477161566,22217443.945449114
2010-01-06,IBM,IBM,1,52.761323991404616,0.0012594910890466604,0.051436628450807674,0.09794507353849526,0.4545592347382228,0.659374306760995,417032802.12506104,-0.024558714121460046,65.47140550871649,0.13142250149299328,2510239.3020085096
2010-01-06,INTC,INTC,1,62.46107193082523,0.03300137654091406,0.09284309815050427,1.4218128088494797,0.37659217182290305,0.18395004867283582,539208790.2826309,-0.12208185364149737,62.096094681500105,0.21928150539781294,9276100.572756827
2010-01-06,JNJ,JNJ,1,55.885568293282816,-0.002306567545539262,0.017112643987580466,-0.539149309063692,0.11443437037314119,0.26175660465145256,527673270.18356323,0.4176637796402751,57.700226102033135,0.07252198123188246,-4534121.252384454
